Code ;NOM;MS;UFL;UFV;PDIA;PDI;BPR;LysDI;MetDI;HisDI;NIref;UEM;UEL;UEB;MO;dMO;MAT;dMA;CB;dCB;NDF;dNDF;ADF;dADF;AG;EE;P;Pabs;Ca;Caabs;Mg;BE;EB;dE;EM;DT_N;DT6_N;dr_N;S;Na;K;Cl;BACA;Cu;Zn;Mn;Co;Se;I;VitA;VitD;VitE;LysBP;HisBP;ArgBP;ThrBP;ValBP;MetBP;IleBP;LeuBP;PheBP;AspBP;SerBP;GluBP;ProBP;GlyBP;AlaBP;TyrBP;CysTrpBP;LysDI;HisDI;ArgDI;ThrDI;ValDI;MetDI;IleDI;LeuDI;PheDI;AspDI;SerDI;GluDI;ProDI;GlyDI;AlaDI;TyrDI;C14:0;C16:0;C16:1;C18:0;C18:1;C18:2;C18:3
FE4710;ENSILAGESMAIS;29.8;0.95;0.91;12;61;-32;7;2.16;1.9;1.44;1.28;1.01;1.11;953;72.1;78;52;207;49.1;413;51.8;210;45.6;24;31;1.8;1.3;2;0.8;1.2;176.3;4484;69.3;2626;75.3;72;62.3;0.7;0.1;10;3;132.5;4;19;24;0.06;0.02;0.1;5000;200;3;3.37;2.1;2.82;4.43;6.35;1.86;4.71;12.21;4.92;8.34;4.97;17.16;8.19;4.97;10.45;3.17;3.12;7;1.9;4.49;5.27;5.79;2.16;5.36;8.91;5.07;10.5;4.65;13.74;4.45;6.66;7.16;4.11;0.39;15.9;0.42;2.3;21.4;45.8;5
FE4720;ENSILAGESMAIS;34.7;0.96;0.92;12;62;-35;7.03;2.17;1.9;1.44;1.28;0.95;1.04;956;72.5;76;51;200;48.6;400;51.4;204;45.1;24;31;1.8;1.3;2;0.8;1.2;176.3;4476;69.7;2640;75.3;72;62.3;0.7;0.1;10;3;132.5;4;19;24;0.06;0.02;0.1;5000;200;3;3.37;2.1;2.82;4.43;6.35;1.86;4.71;12.21;4.92;8.34;4.97;17.16;8.19;4.97;10.45;3.17;3.12;7.03;1.9;4.49;5.27;5.79;2.17;5.37;8.89;5.08;10.52;4.65;13.72;4.42;6.67;7.15;4.12;0.39;15.9;0.42;2.3;21.4;45.8;5
FE4730;ENSILAGESMAIS;41.5;0.95;0.91;12;63;-33;7.2;2.15;2.03;1.44;1.28;0.9;0.96;959;72.2;79;50;202;48.1;403;51.1;204;44.6;24;31;1.8;1.3;2;0.8;1.2;176.3;4479;69.5;2628;75.3;72;62.3;0.7;0.1;10;3;132.5;4;19;24;0.06;0.02;0.1;5000;200;3;4.54;2.88;2.11;4.53;6.31;1.8;4.38;13.64;5.14;8.63;5.45;14.71;8.15;4.81;8.96;3.95;3.12;7.2;2.03;4.42;5.28;5.78;2.15;5.29;9.13;5.1;10.53;4.73;13.35;4.43;6.63;7.04;4.15;0.39;15.9;0.42;2.3;21.4;45.8;5
FE4740;ENSILAGESMAIS;35;0.98;0.95;13;63;-32;7.18;2.14;2.04;1.44;1.36;0.93;1;953;74;82;51.2;165;55.4;416;56.7;183;51.7;24;31;1.8;1.3;2;0.8;1.2;176.3;4470;71.2;2692;75.3;72;62.3;0.7;0.1;10;3;132.5;4;19;24;0.06;0.02;0.1;5000;200;3;4.54;2.88;2.11;4.53;6.31;1.8;4.38;13.64;5.14;8.63;5.45;14.71;8.15;4.81;8.96;3.95;3.12;7.18;2.04;4.41;5.27;5.78;2.14;5.28;9.16;5.1;10.52;4.73;13.36;4.45;6.62;7.04;4.15;0.39;15.9;0.42;2.3;21.4;45.8;5
FE4750;ENSILAGESMAIS;24;0.88;0.82;16;63;-8;7;2.1;2.09;1.44;1.53;1.17;1.26;944;68;105;59;226;61;495;NA;248;NA;24;31;1.8;1.3;2;0.8;1.2;176.3;4515;65.2;2463;75.3;72;62.3;0.7;0.1;10;3;132.5;4;19;24;0.06;0.02;0.1;5000;200;3;4.54;2.88;2.11;4.53;6.31;1.8;4.38;13.64;5.14;8.63;5.45;14.71;8.15;4.81;8.96;3.95;3.12;7;2.09;4.33;5.21;5.78;2.1;5.18;9.44;5.09;10.39;4.78;13.41;4.66;6.56;7.06;4.13;0.39;15.9;0.42;2.3;21.4;45.8;5
FE4760;ENSILAGESMAIS;27;0.85;0.78;16;61;-9;6.81;2.14;2.08;1.44;1.5;1.16;1.26;929;67;101;58.4;225;59;494;NA;247;NA;24;31;1.8;1.3;2;0.8;1.2;176.3;4419;64.2;2373;75.3;72;62.3;0.7;0.1;10;3;132.5;4;19;24;0.06;0.02;0.1;5000;200;3;3.62;2.83;3.24;4.45;6.06;1.94;4.36;11.76;4.95;8.6;5;17.47;8.19;4.79;9.48;3.26;3.12;6.81;2.08;4.47;5.2;5.74;2.14;5.19;9.03;5.06;10.4;4.67;13.96;4.67;6.57;7.12;4.09;0.39;15.9;0.42;2.3;21.4;45.8;5
FE4770;ENSILAGESMAIS;32;0.87;0.81;12;59;-29;7.18;2.14;2.04;1.44;1.42;1.07;1.16;943;68;77;49.4;203;56;465;NA;223;NA;24;31;1.8;1.3;2;0.8;1.2;176.3;4428;65.2;2432;75.3;72;62.3;0.7;0.1;10;3;132.5;4;19;24;0.06;0.02;0.1;5000;200;3;4.54;2.88;2.11;4.53;6.31;1.8;4.38;13.64;5.14;8.63;5.45;14.71;8.15;4.81;8.96;3.95;3.12;7.18;2.04;4.41;5.27;5.78;2.14;5.28;9.17;5.1;10.51;4.74;13.36;4.46;6.62;7.04;4.15;0.39;15.9;0.42;2.3;21.4;45.8;5
FE4780;ENSILAGESMAIS;53;1.08;1.05;27;78;-42;6.28;2;2.14;1.44;1.56;0.97;0.9;981;78;83;50.6;90;0;318;NA;104;NA;24;31;1.8;1.3;2;0.8;1.5;342.3;4650;74.3;2927;62.6;55;86.6;1.3;2.3;10;0.5;261.1;6;30;24;0.06;0.02;0.1;5000;200;3;2.99;2.77;4.62;4.6;6.14;1.66;4.36;11.79;5.47;8.66;5.3;17.45;7.53;4.8;7.86;4;3.12;6.28;2.14;4.63;5.15;5.75;2;5.05;9.34;5.18;10.24;4.8;14.24;4.81;6.49;6.95;4.12;0.39;15.9;0.42;2.3;21.4;45.8;5
FE4790;ENSILAGESORGE;35;0.73;0.64;14;60;-27;6.82;2.14;1.93;1.98;1.36;1.06;1.1;930;59;81;50.6;200;29;449;NA;249;NA;19;25;2.3;1.5;3.4;1.3;1.8;71.4;4511;55.5;2113;73.5;72;64.8;1.5;0.3;7;4.3;-22.3;7;30;40;0.02;0.02;0.1;5000;200;3;3.28;2.22;4.02;4.35;6.23;1.88;4.42;7.74;5.69;7.14;4.73;23.64;10.45;4.92;6.09;3.2;3.12;6.82;1.93;4.57;5.2;5.76;2.14;5.23;8.15;5.19;10.23;4.59;14.94;5;6.6;6.77;4.09;NA;20.9;NA;1.81;13.2;37.7;19.9
FE4800;ENSILAGESBLE;35;0.69;0.6;17;62;-12;6.81;2.17;1.96;1.98;1.36;1.01;1.01;892;59;98;58.2;267;47;522;NA;313;NA;19;25;2.6;1.7;4;1.6;1.4;88.3;4280;55.5;1990;73.5;72;64.8;1.3;0.3;7;3.7;7.1;7;30;40;0.02;0.02;0.1;5000;200;3;3.97;2.29;2.65;4.26;7.06;2.1;5.44;9.35;5.54;7.11;4.69;19.21;7.96;6.15;9.9;2.33;3.12;6.81;1.96;4.37;5.13;5.91;2.17;5.44;8.51;5.17;10.1;4.58;14.32;4.66;6.89;7.15;4.01;NA;20.9;NA;1.81;13.2;37.7;19.9
