Code ;NOM;MS;UFL;UFV;PDIA;PDI;BPR;LysDI;MetDI;HisDI;NIref;UEM;UEL;UEB;MO;dMO;MAT;dMA;CB;dCB;NDF;dNDF;ADF;dADF;AG;EE;P;Pabs;Ca;Caabs;Mg;BE;EB;dE;EM;DT_N;DT6_N;dr_N;S;Na;K;Cl;BACA;Cu;Zn;Mn;Co;Se;I;VitA;VitD;VitE;LysBP;HisBP;ArgBP;ThrBP;ValBP;MetBP;IleBP;LeuBP;PheBP;AspBP;SerBP;GluBP;ProBP;GlyBP;AlaBP;TyrBP;CysTrpBP;LysDI;HisDI;ArgDI;ThrDI;ValDI;MetDI;IleDI;LeuDI;PheDI;AspDI;SerDI;GluDI;ProDI;GlyDI;AlaDI;TyrDI;C14:0;C16:0;C16:1;C18:0;C18:1;C18:2;C18:3
FV1860;BLE;34.7;0.74;0.66;13;62;-36;6.88;2.11;1.96;1.86;1.45;1.01;1.01;924;61;74;56.8;298;51;568;53.3;324;47.4;19;25;2.3;1.5;3.3;1.3;1.5;156.8;4305;58;2104;74.7;73;70.4;1.2;0.3;10;4;81.8;6;30;50;0.1;0.02;0.1;2000;500;15;2.97;2.36;5.23;3.18;4.51;1.64;3.69;6.97;4.82;5.33;5.12;29.1;10.14;4.2;3.79;3.18;3.7;6.88;1.96;4.71;5.06;5.52;2.11;5.14;8.06;5.06;10.1;4.7;15.74;4.86;6.5;6.61;4.1;NA;20.9;1.4;1.81;13.2;37.7;19.9
FV1870;BLE;36.8;0.76;0.69;12;62;-38;6.94;2.13;1.95;1.64;1.64;1.01;1.01;925;63;72;52.8;289;51;571;53.3;327;47.4;19;25;2.3;1.5;2.9;1.1;1.5;156.8;4306;60;2172;75.4;73;69.6;1.2;0.3;10;4;81.8;6;30;50;0.1;0.02;0.1;2000;500;15;2.97;2.36;5.23;3.18;4.51;1.64;3.69;6.97;4.82;5.33;5.12;29.1;10.14;4.2;3.79;3.18;3.7;6.94;1.95;4.71;5.09;5.54;2.13;5.17;8.06;5.06;10.16;4.69;15.58;4.79;6.52;6.63;4.1;NA;20.9;1.4;1.81;13.2;37.7;19.9
FV1880;AVOINE;14.9;1.05;1.05;25;81;-16;6.85;2.12;1.98;2.87;0.94;0.97;0.95;879;81;120;71.7;230;79;513;74.7;278;74.5;20;34;3.4;2.2;4.8;1.9;2;179.9;4181;77.7;2810;71.5;73;73.7;1.5;0.3;12;5;86.1;7;30;40;0.1;0.02;0.1;2000;500;15;4.65;2.33;7.42;3.88;5.87;1.99;4.21;8.19;5.54;9.63;5.43;19.05;6.87;5.65;5.32;3.99;4.6;6.85;1.98;5.02;5;5.67;2.12;5.04;8.26;5.16;10.43;4.79;14.44;4.51;6.75;6.61;4.11;1;17.81;1.4;1.82;3;15.09;56.17
FV1890;AVOINE;20.6;0.89;0.84;19;72;-22;6.99;2.14;1.97;2.16;1.25;1;1;905;71;102;68.6;302;37;601;42.6;349;33.8;18;32;3;2;4.3;1.7;1.5;156.8;4268;67.8;2463;73.7;73;71.5;1.2;0.3;10;4;81.8;6;25;35;0.1;0.02;0.1;2000;500;15;4.65;2.33;7.42;3.88;5.87;1.99;4.21;8.19;5.54;9.63;5.43;19.05;6.87;5.65;5.32;3.99;4.6;6.99;1.97;4.97;5.07;5.68;2.14;5.12;8.25;5.16;10.51;4.76;14.26;4.39;6.76;6.66;4.12;1;18.3;1.4;1.87;3.1;15.44;54.93
FV1900;AVOINE;17.7;0.79;0.73;17;68;-18;7.02;2.15;1.96;1.69;1.59;1;1;900;66;101;68.3;333;65;638;64;379;61;18;32;2.7;1.7;3.8;1.5;1.5;156.8;4243;62.9;2238;75.2;73;69.8;1.2;0.3;10;4;81.8;6;25;35;0.1;0.02;0.1;2000;500;15;4.65;2.33;7.42;3.88;5.87;1.99;4.21;8.19;5.54;9.63;5.43;19.05;6.87;5.65;5.32;3.99;4.6;7.02;1.96;4.96;5.08;5.69;2.15;5.14;8.25;5.16;10.52;4.76;14.22;4.37;6.76;6.67;4.12;1;18.33;1.4;1.87;3.11;15.46;54.86
FV1910;AVOINE;31.8;0.71;0.62;12;60;-40;7.2;2.18;1.94;1.87;1.44;1.03;1.05;928;59;67;59.7;270;44;562;47.9;318;40.6;19;25;2.3;1.5;3.3;1.3;1.5;156.8;4311;56;2035;74.6;73;70.4;1.2;0.3;10;4;81.8;6;25;35;0.1;0.02;0.1;2000;500;15;4.65;2.33;7.42;3.88;5.87;1.99;4.21;8.19;5.54;9.63;5.43;19.05;6.87;5.65;5.32;3.99;4.6;7.2;1.94;4.9;5.17;5.71;2.18;5.24;8.23;5.16;10.62;4.72;13.99;4.22;6.77;6.74;4.14;NA;20.9;1.4;1.81;13.2;37.7;19.9
FV1920;AVOINE;38.3;0.68;0.59;11;59;-41;7.2;2.18;1.94;2;1.35;1.03;1.05;930;57;63;50.8;263;39;554;44.1;311;35.8;19;25;2.3;1.5;2.9;1.1;1.5;156.8;4313;54;1967;74.3;73;70.9;1.2;0.3;10;4;81.8;6;25;35;0.1;0.02;0.1;2000;500;15;4.65;2.33;7.42;3.88;5.87;1.99;4.21;8.19;5.54;9.63;5.43;19.05;6.87;5.65;5.32;3.99;4.6;7.2;1.94;4.9;5.17;5.71;2.18;5.24;8.23;5.16;10.62;4.72;13.99;4.22;6.78;6.74;4.14;NA;20.9;1.4;1.81;13.2;37.7;19.9
FV1930;SEIGLE;14;1.08;1.08;43;99;59;6.31;1.95;2.03;2.45;1.1;1.04;1.08;850;84;220;83.6;190;83;465;77.7;239;78.4;30;45;3.7;2.4;4.8;1.9;2;179.9;4224;80.7;2875;72.8;73;72.4;1.5;0.3;12;5;86.1;7;30;40;0.1;0.02;0.1;2000;500;15;4.28;2.3;5.48;3.73;5.26;1.75;3.73;6.58;4.82;8.44;4.82;25.33;11.07;4.82;4.82;2.74;3.2;6.31;2.03;4.76;4.76;5.43;1.95;4.59;7.69;4.92;9.92;4.63;17.05;6.38;6.37;6.38;3.94;1;15.78;1.4;1.53;2.46;13.13;61.48
FV1940;SEIGLE;14;0.92;0.89;25;78;7;6.73;2.04;1.98;1.83;1.47;1.06;1.12;890;74;140;72.1;270;72;562;69.3;318;67.7;22;36;3;2;4.3;1.7;1.5;156.8;4266;70.8;2538;74.8;73;70.3;1.2;0.3;10;4;81.8;6;25;45;0.1;0.02;0.1;2000;500;15;4.28;2.3;5.48;3.73;5.26;1.75;3.73;6.58;4.82;8.44;4.82;25.33;11.07;4.82;4.82;2.74;3.2;6.73;1.98;4.74;4.95;5.53;2.04;4.87;7.83;4.98;10.2;4.62;15.98;5.64;6.5;6.54;4.01;1;17.32;1.4;1.76;2.89;14.69;57.44
FV1950;SEIGLE;17.1;0.89;0.85;22;76;3;6.79;2.06;1.97;1.57;1.72;1.06;1.12;900;72;133;69.9;295;71;597;68.5;339;66.8;21;35;2.7;1.7;3.8;1.5;1.5;156.8;4299;68.8;2470;75.6;73;69.3;1.2;0.3;10;4;81.8;6;25;45;0.1;0.02;0.1;2000;500;15;4.28;2.3;5.48;3.73;5.26;1.75;3.73;6.58;4.82;8.44;4.82;25.33;11.07;4.82;4.82;2.74;3.2;6.79;1.97;4.74;4.99;5.54;2.06;4.92;7.86;4.99;10.25;4.62;15.81;5.52;6.52;6.57;4.02;1;17.49;1.4;1.78;2.93;14.83;57.01
